brand,model,city,km,price
2022 Hyundai,Santa Fe Hybrid,Blainville · QC,36548.0,38992.0
2022 Honda,Civic,Pincourt · QC,34393.0,29995.0
2015 Honda,Accord,Saint-Hubert · QC,78283.0,16999.0
2020 Hyundai,Santa Fe,Saint-Hubert · QC,47390.0,29999.0
2018 Nissan,Kicks,Saint-Eustache · QC,92112.0,16997.0
2021 Nissan,Kicks,Saint-Jerome · QC,34852.0,20795.0
2023 Hyundai,IONIQ 5,Blainville · QC,8500.0,58950.0
2019 Hyundai,Elantra,Pincourt · QC,207845.0,9999.0
2016 Lincoln,MKC,Saint-Hubert · QC,111126.0,17999.0
2023 Toyota,BZ4X,Granby · QC,9568.0,39988.0
2021 Nissan,Kicks,Saint-Hubert · QC,77098.0,20999.0
2016 Kia,Sorento,Saint-Eustache · QC,89367.0,19994.0
2024 Bmw,330,Blainville · QC,7300.0,63331.0
2019 Ram,1500 Classic,Granby · QC,45792.0,30995.0
2021 Ford,Explorer,Saint-Hubert · QC,89788.0,31499.0
2020 Toyota,RAV4,Pincourt · QC,101944.0,26990.0
2018 Hyundai,Elantra,Brossard · QC,40147.0,16788.0
2022 Hyundai,Tucson Hybrid,Brossard · QC,31608.0,40985.0
2023 Mitsubishi,RVR,Blainville · QC,8673.0,31492.0
2013 Mitsubishi,RVR,Pincourt · QC,93281.0,9699.0
2019 Hyundai,Santa Fe,Saint-Eustache · QC,40591.0,29997.0
2022 Mazda,CX-5,Brossard · QC,14371.0,37975.0
2022 Hyundai,Elantra Hybrid,Brossard · QC,31008.0,29385.0
2019 Toyota,Corolla Hatchback,Granby · QC,65331.0,22995.0
2021 Ford,Escape,Saint-Eustache · QC,33000.0,27850.0
2019 Acura,TLX,Notre-Dame-des-Prairies · QC,118048.0,29849.0
2019 Lexus,Rx,Saint-Hubert · QC,68084.0,35999.0
2021 Lexus,IS 300,Granby · QC,39102.0,37995.0
2022 Hyundai,Elantra,Saint-Eustache · QC,21819.0,27222.0
2020 Honda,Civic,Laval · QC,62554.0,23995.0
2017 Hyundai,Ioniq Hybrid,Pincourt · QC,148936.0,13990.0
2022 Chevrolet,Silverado 1500,Granby · QC,47943.0,48988.0
2016 Honda,CR-V,Blainville · QC,176000.0,14950.0
2023 Kia,Niro EV,Saint-Jerome · QC,3621.0,45775.0
2018 Chevrolet,Malibu,Brossard · QC,115125.0,17985.0
2019 Ford,EDGE,Saint-Eustache · QC,85000.0,27850.0
2022 Subaru,Impreza,Saint-Hubert · QC,69010.0,22499.0
2017 Honda,Ridgeline,Saint-Hubert · QC,137705.0,25999.0
2021 Chevrolet,Spark,Saint-Eustache · QC,80090.0,20995.0
2020 Hyundai,Santa Fe,Saint-Hubert · QC,64901.0,25999.0
2019 Kia,Sorento,Saint-Hubert · QC,112655.0,20499.0
2020 Volvo,XC60,Saint-Hubert · QC,35874.0,37999.0
2018 Subaru,Forester,Brossard · QC,102990.0,21445.0
2019 Honda,HR-V,Pincourt · QC,168000.0,18495.0
2021 Toyota,RAV4 Prime,Montreal · QC,59717.0,42900.0
2020 Volvo,XC90,Saint-Hubert · QC,84910.0,37449.0
2023 Bmw,330,Blainville · QC,4600.0,63812.0
2019 Nissan,Altima,Saint-Eustache · QC,65556.0,21995.0
2020 Honda,Civic Sedan,Pincourt · QC,57123.0,24477.0
2018 Honda,Odyssey,Pincourt · QC,92123.0,31477.0
2017 Volvo,XC90 Hybrid,Saint-Hubert · QC,102338.0,33999.0
2020 Chevrolet,Bolt EV,Saint-Hubert · QC,54196.0,22999.0
2021 Chrysler,Pacifica Hybrid,Pincourt · QC,66409.0,42990.0
2021 Hyundai,Santa Fe,Saint-Hubert · QC,73727.0,28449.0
2020 Chevrolet,Bolt EV,Saint-Hubert · QC,71271.0,21999.0
2022 Chevrolet,Blazer,Pincourt · QC,14368.0,36797.0
2024 Bmw,X3,Blainville · QC,3600.0,69742.0
2021 Chevrolet,Silverado 1500,Drummondville · QC,24237.0,49995.0
2016 Mazda,CX-3,Saint-Eustache · QC,167809.0,13994.0
2018 Nissan,Qashqai,Saint-Jerome · QC,91543.0,18795.0
2017 Toyota,Prius Prime,Granby · QC,55606.0,21495.0
2024 Ford,EDGE,Saint-Jerome · QC,11526.0,49955.0
2021 Chevrolet,Spark,Brossard · QC,19718.0,18795.0
2021 Volvo,XC40,Pincourt · QC,44772.0,38798.0
2022 Ram,1500 Classic,Pincourt · QC,17233.0,42038.0
2022 Hyundai,Venue,Montreal · QC,53059.0,19900.0
2018 Chevrolet,Traverse,Pincourt · QC,127916.0,27144.0
2016 Dodge,Grand Caravan,Saint-Hubert · QC,72189.0,18499.0
2022 Hyundai,Kona,Saint-Eustache · QC,30365.0,24777.0
2022 Kia,Forte,Saint-Jerome · QC,38915.0,22495.0
2020 Gmc,Sierra 1500,Pincourt · QC,57336.0,59043.0
2023 Hyundai,Santa Fe Hybrid,Brossard · QC,8095.0,45494.0
2020 Toyota,Corolla Hatchback,Saint-Hubert · QC,56993.0,24449.0
2018 Nissan,Versa Note,Saint-Hubert · QC,128049.0,13999.0
2018 Subaru,Crosstrek,Saint-Hubert · QC,128151.0,17999.0
2022 Chevrolet,Colorado,Granby · QC,24900.0,46988.0
2020 Honda,CR-V,Notre-Dame-des-Prairies · QC,106300.0,26949.0
2016 Nissan,Titan XD,Pincourt · QC,134528.0,27038.0
2021 Nissan,Sentra,Saint-Hubert · QC,93203.0,20499.0
2018 Hyundai,Sonata,Saint-Hubert · QC,129152.0,15999.0
2018 Toyota,Highlander,Granby · QC,102875.0,36988.0
2019 Kia,Sorento,Saint-Jerome · QC,75867.0,23495.0
2018 Ford,Explorer,Pincourt · QC,81871.0,26798.0
2022 Hyundai,IONIQ 5,Brossard · QC,16830.0,49985.0
2021 Toyota,Venza,Granby · QC,26599.0,40995.0
2021 Hyundai,Elantra Hybrid,Brossard · QC,49995.0,27445.0
2021 Hyundai,Elantra,Saint-Hubert · QC,82540.0,22999.0
2015 Toyota,Corolla,Pincourt · QC,36565.0,16977.0
2020 Mercedes-Benz,GLC63 AMG,Laval · QC,65671.0,83995.0
2018 Chevrolet,Bolt EV,Saint-Jerome · QC,82731.0,20985.0
2017 Honda,Civic Sedan,Montreal · QC,108109.0,13900.0
2018 Chevrolet,Cruze,Saint-Eustache · QC,55465.0,22995.0
2019 Mazda,CX-3,Saint-Eustache · QC,51522.0,23995.0
2019 Infiniti,Qx50,Saint-Hubert · QC,83015.0,25499.0
2018 Hyundai,Kona,Saint-Eustache · QC,73946.0,17997.0
2023 Mercedes-Benz,GLA250,Laval · QC,22088.0,52995.0
2019 Mercedes-Benz,B-Class,Brossard · QC,33940.0,27985.0
2021 Chevrolet,Traverse,Granby · QC,86279.0,32988.0
2019 Kia,Sportage,Granby · QC,45702.0,23495.0
2023 Bmw,X5,Blainville · QC,14000.0,84950.0
2021 Mazda,CX-3,Pincourt · QC,111123.0,19477.0
2017 Audi,S3,Blainville · QC,115262.0,28492.0
2023 Hyundai,Tucson Hybrid,Brossard · QC,270.0,44985.0
2014 Fiat,500c,Brossard · QC,96698.0,9985.0
2020 Hyundai,Elantra,Pincourt · QC,78493.0,17490.0
2015 Nissan,Micra,Saint-Hubert · QC,91793.0,10999.0
2021 Volvo,XC40,Blainville · QC,49067.0,39482.0
2021 Toyota,Highlander,Pincourt · QC,58076.0,44690.0
2018 Buick,Encore,Pincourt · QC,55063.0,21993.0
2018 Ford,F-150,Saint-Eustache · QC,72326.0,33995.0
2010 Toyota,Yaris,Pincourt · QC,235513.0,7990.0
2016 Toyota,Prius C,Montreal · QC,206451.0,12900.0
2021 Kia,Forte,Saint-Hubert · QC,77566.0,19999.0
2019 Dodge,Grand Caravan,Saint-Hubert · QC,124994.0,27449.0
2022 Bmw,4 Series,Blainville · QC,27417.0,61950.0
2017 Cadillac,XT5,Pincourt · QC,99097.0,22536.0
2024 Ford,EDGE,Saint-Jerome · QC,11142.0,49955.0
2021 Mazda,MAZDA6,Saint-Eustache · QC,88152.0,24995.0
2020 Hyundai,Accent,Brossard · QC,44159.0,22455.0
2023 Audi,A3,Blainville · QC,11100.0,41450.0
2022 Mazda,CX-5,Saint-Eustache · QC,38000.0,29450.0
2020 Nissan,Leaf,Granby · QC,43406.0,19995.0
2012 Chevrolet,Equinox,Saint-Hyacinthe · QC,123536.0,10694.0
2020 Dodge,Grand Caravan,Saint-Hubert · QC,82218.0,28999.0
2022 Bmw,X2,Saint-Hubert · QC,75658.0,31999.0
2021 Ford,F-150,Blainville · QC,56000.0,51950.0
2021 Chevrolet,Silverado 1500,Granby · QC,76000.0,36988.0
2021 Hyundai,Venue,Saint-Eustache · QC,76353.0,23995.0
2021 Hyundai,Sonata,Saint-Eustache · QC,79675.0,24495.0
2020 Nissan,Altima,Saint-Jerome · QC,18246.0,26895.0
2023 Kia,Stinger,Saint-Jerome · QC,5130.0,50995.0
2017 Jeep,Grand Cherokee,Granby · QC,112655.0,27984.0
2021 Honda,Civic Berline,Saint-Jerome · QC,70684.0,22495.0
2019 Ford,Transit,Saint-Hyacinthe · QC,74968.0,45194.0
2021 Gmc,Cutaway,Saint-Hyacinthe · QC,71515.0,52994.0
2019 Jeep,Cherokee,Saint-Hubert · QC,113655.0,24499.0
2020 Chevrolet,Bolt EV,Saint-Hubert · QC,53786.0,22999.0
2016 Honda,HR-V,Saint-Hyacinthe · QC,124364.0,17994.0
2019 Ford,FIESTA,Saint-Eustache · QC,78849.0,17995.0
2019 Hyundai,Elantra,Saint-Hubert · QC,57202.0,19999.0
2020 Toyota,Camry,Saint-Hubert · QC,89774.0,22999.0
2021 Chevrolet,Trax,Granby · QC,60517.0,20988.0
2021 Chrysler,300,Saint-Hubert · QC,87665.0,31499.0
2022 Genesis,GV70,Brossard · QC,27131.0,46775.0
2017 Kia,Sorento,Granby · QC,141400.0,16988.0
2019 Ford,F-150,Granby · QC,92000.0,32988.0
2017 Mini,Cooper Hardtop,Granby · QC,64000.0,18988.0
2019 Toyota,Yaris,Blainville · QC,55018.0,18982.0
2016 Jeep,Cherokee,Pincourt · QC,93252.0,18977.0
2022 Honda,HR-V,Notre-Dame-des-Prairies · QC,56000.0,28749.0
2019 Hyundai,Tucson,Saint-Hubert · QC,41420.0,24449.0
2024 Bmw,iX,Blainville · QC,8500.0,93319.0
2019 Dodge,Grand Caravan,Saint-Hubert · QC,126394.0,22999.0
2018 Chevrolet,Silverado 1500,Saint-Hyacinthe · QC,114521.0,30894.0
2021 Mazda,CX-5,Saint-Hubert · QC,91279.0,27949.0
2018 Honda,Civic,Pincourt · QC,42556.0,19495.0
2020 Mercedes-Benz,GLC,Brossard · QC,53110.0,40985.0
2021 Tesla,Model 3,Brossard · QC,75083.0,48975.0
2024 Toyota,BZ4X,Montreal · QC,13.0,46252.0
2021 Mazda,CX-3,Saint-Hubert · QC,97550.0,24499.0
2023 Gmc,Terrain,Blainville · QC,25000.0,36950.0
2018 Audi,Q5,Saint-Hubert · QC,107016.0,24999.0
2022 Hyundai,Venue,Pincourt · QC,43622.0,18790.0
2019 Audi,A4,Saint-Hubert · QC,58007.0,27949.0
2012 Jeep,Grand Cherokee,Granby · QC,121316.0,16995.0
2021 Ford,Escape Hybrid,Saint-Eustache · QC,16000.0,29250.0
2019 Honda,Civic Sedan,Notre-Dame-des-Prairies · QC,91000.0,17949.0
2020 Nissan,Rogue,Saint-Eustache · QC,121000.0,25995.0
2018 Hyundai,Elantra Gt,Brossard · QC,88590.0,21985.0
2023 Honda,Civic,Saint-Hyacinthe · QC,2753.0,32994.0
2020 Ford,EDGE,Saint-Jerome · QC,61580.0,29955.0
2022 Gmc,Sierra 1500,Drummondville · QC,31906.0,44995.0
2022 Chevrolet,1500,Saint-Eustache · QC,75000.0,41950.0
2022 Chevrolet,Camaro,Saint-Hubert · QC,60993.0,38999.0
2021 Gmc,Sierra 1500,Saint-Hubert · QC,99559.0,34999.0
2018 Bmw,3 Series,Brossard · QC,65442.0,26985.0
2020 Volvo,XC40,Pincourt · QC,95221.0,29543.0
2021 Hyundai,Palisade,Brossard · QC,80361.0,37285.0
2018 Honda,Civic,Saint-Eustache · QC,88000.0,22850.0
2020 Toyota,Corolla,Saint-Jerome · QC,75260.0,18695.0
2022 Kia,Niro EV,Saint-Jerome · QC,49755.0,32395.0
2024 Toyota,RAV4,Montreal · QC,10.0,36101.0
2023 Honda,Civic Type R,Notre-Dame-des-Prairies · QC,5523.0,64949.0
2018 Hyundai,Kona,Saint-Hyacinthe · QC,46452.0,22394.0
2021 Subaru,Crosstrek,Granby · QC,122223.0,22995.0
2021 Toyota,Tacoma,Granby · QC,40657.0,42495.0
2021 Honda,CR-V,Notre-Dame-des-Prairies · QC,120966.0,25249.0
2011 Honda,Accord Sedan,Saint-Eustache · QC,165555.0,7993.0
2021 Mercedes-Benz,CLA250,Laval · QC,41710.0,40495.0
2022 Mercedes-Benz,GLC43 AMG,Laval · QC,30278.0,62995.0
2019 Ford,EDGE,Saint-Eustache · QC,91000.0,21950.0
2024 Bmw,i4,Blainville · QC,3150.0,79041.0
2020 Mazda,Mazda3 Sport,Saint-Hubert · QC,164127.0,20449.0
2023 Gmc,Sierra 2500HD,Montreal · QC,35742.0,75900.0
2015 Hyundai,SANTA FE SPORT,Brossard · QC,176008.0,10985.0
2019 Hyundai,Kona Electric,Blainville · QC,84955.0,21987.0
2018 Porsche,Cayenne,Brossard · QC,87600.0,42875.0
2020 Toyota,RAV4,Saint-Hubert · QC,102041.0,26999.0
2013 Hyundai,Sonata Hybrid,Blainville · QC,132426.0,10986.0
2022 Chevrolet,SILVERADO K1500 RST,Pincourt · QC,15000.0,56937.0
2019 Ford,Explorer,Saint-Hubert · QC,81238.0,29499.0
2015 Chrysler,200,Saint-Jerome · QC,131383.0,13955.0
2010 Dodge,Challenger,Brossard · QC,53258.0,29985.0
2017 Hyundai,Tucson,Saint-Jerome · QC,111331.0,16295.0
2024 Bmw,330,Blainville · QC,6700.0,64590.0
2022 Toyota,Corolla,Saint-Hubert · QC,20792.0,26499.0
2022 Toyota,Corolla,Granby · QC,26302.0,24495.0
2016 Hyundai,Elantra,Pincourt · QC,117638.0,10990.0
2012 Cadillac,SRX,Pincourt · QC,143247.0,11536.0
2019 Kia,Sorento,Saint-Jerome · QC,87411.0,27795.0
2021 Mercedes-Benz,GLE53,Laval · QC,26141.0,89995.0
2020 Bmw,i3,Blainville · QC,54000.0,31950.0
2020 Hyundai,Elantra,Blainville · QC,15240.0,18987.0
2021 Kia,Forte,Saint-Hubert · QC,80420.0,23499.0
2020 Hyundai,Tucson,Saint-Hubert · QC,116853.0,25949.0
2022 Mazda,CX-30,Pincourt · QC,26679.0,28477.0
2022 Ford,Mustang Mach-E,Saint-Jerome · QC,50968.0,34955.0
2019 Volkswagen,Jetta,Pincourt · QC,236026.0,12306.0
2024 Subaru,Forester,Pincourt · QC,4504.0,43990.0
2020 Toyota,Corolla Hatchback,Granby · QC,40775.0,23495.0
2019 Toyota,Highlander,Pincourt · QC,98618.0,32038.0
2020 Ford,EcoSport,Saint-Eustache · QC,89579.0,23995.0
2017 Nissan,Pathfinder,Saint-Hubert · QC,136965.0,18999.0
2020 Volkswagen,Tiguan,Saint-Hubert · QC,36763.0,26499.0
2021 Toyota,Corolla,Saint-Hubert · QC,106243.0,21999.0
2020 Ford,F-150,Pincourt · QC,116066.0,33298.0
2021 Mazda,CX-5,Pincourt · QC,52275.0,24977.0
2019 Gmc,Terrain,Pincourt · QC,85163.0,21406.0
2018 Toyota,Corolla iM,Montreal · QC,32420.0,20900.0
2023 Hyundai,Santa Fe,Blainville · QC,35372.0,36987.0
2018 Hyundai,Elantra,Saint-Eustache · QC,105256.0,13997.0
2021 Chevrolet,Trailblazer AWD LT,Pincourt · QC,78622.0,22998.0
2021 Toyota,RAV4,Saint-Hubert · QC,104411.0,27999.0
2021 Volvo,XC90,Blainville · QC,73500.0,56950.0
2017 Hyundai,Sonata,Pincourt · QC,146525.0,13977.0
2013 Chevrolet,Malibu,Pincourt · QC,200020.0,7599.0
2022 Kia,EV6,Saint-Jerome · QC,59488.0,51595.0
2021 Toyota,C-HR,Saint-Hubert · QC,88624.0,24499.0
2021 Bmw,X3 M,Blainville · QC,75500.0,69950.0
2020 Ford,F-150,Saint-Eustache · QC,95000.0,31500.0
2022 Kia,Sorento,Saint-Jerome · QC,25217.0,35995.0
2019 Toyota,Corolla,Saint-Hubert · QC,80159.0,21249.0
2019 Nissan,Leaf,Saint-Eustache · QC,40942.0,19994.0
2022 Nissan,Frontier,Saint-Hubert · QC,21830.0,35999.0
2018 Mercedes-Benz,GLC,Saint-Hubert · QC,109379.0,26999.0
2020 Alfa Romeo,Stelvio,Pincourt · QC,51373.0,36036.0
2016 Dodge,Grand Caravan,Blainville · QC,58852.0,19992.0
2021 Nissan,Versa,Saint-Hubert · QC,87632.0,18499.0
2019 Nissan,Kicks,Saint-Hubert · QC,43468.0,19999.0
2019 Nissan,Sentra,Saint-Eustache · QC,87761.0,19995.0
2019 Toyota,Tundra,Montreal · QC,122791.0,39900.0
2021 Jeep,Wrangler 4xe,Pincourt · QC,34446.0,47338.0
2021 Hyundai,Elantra,Saint-Hubert · QC,37651.0,23999.0
2019 Lexus,Rx,Brossard · QC,49000.0,40485.0
2020 Hyundai,Elantra,Saint-Eustache · QC,61937.0,18997.0
2021 Ford,Mustang,Brossard · QC,9885.0,49985.0
2021 Kia,Forte,Saint-Eustache · QC,90745.0,23995.0
2020 Toyota,Prius Prime,Montreal · QC,20523.0,25900.0
2016 Lexus,Rx,Saint-Hubert · QC,72251.0,30999.0
2023 Genesis,GV60,Brossard · QC,18954.0,68985.0
2022 Bmw,4 Series,Blainville · QC,13700.0,62950.0
2018 Volkswagen,e-Golf,Granby · QC,92615.0,18495.0
2016 Dodge,Grand Caravan,Saint-Hubert · QC,112732.0,18499.0
2023 Hyundai,Kona Electric,Brossard · QC,23801.0,39875.0
2023 Bmw,3 Series,Blainville · QC,8800.0,61081.0
2013 Hyundai,Accent,Saint-Eustache · QC,91471.0,7549.0
2023 Cadillac,XT5,Pincourt · QC,13575.0,50036.0
2019 Chevrolet,Trax,Granby · QC,49000.0,18988.0
2017 Mazda,Mazda3,Saint-Eustache · QC,105475.0,20995.0
2019 Bmw,3 Series,Brossard · QC,43295.0,33795.0
2019 Audi,Q7,Saint-Hubert · QC,85118.0,38999.0
